,Date,Location,Dead,Injured,Total,Description,dt,Suspects Dead,Suspects Injured,Year,Month,Day,loc,loc_name,loc_coords,lat,long,wrapped_descr,City,State
45,"July 5, 2019","Reno, Nevada",1,3,4,One person died and three were wounded in a shooting.[56],2019-07-05,0,0,2019,7,5,"Reno, Washoe County, Nevada, USA","Reno, Washoe County, Nevada, USA","(39.52927, -119.8136744)",39.52927,-119.8136744,"One person died and
three were wounded
in a shooting.[56]",Reno, Nevada
46,"July 5, 2019","Gravette, Arkansas",4,0,4,Four people were found deceased at a home in an apparent murder–suicide.[57],2019-07-05,1,0,2019,7,5,"Gravette, Benton County, Arkansas, USA","Gravette, Benton County, Arkansas, USA","(36.4220207, -94.4535484)",36.4220207,-94.4535484,"Four people were
found deceased at a
home in an apparent
murder–suicide.[57]",Gravette, Arkansas
47,"July 5, 2019","Boston, Massachusetts",0,6,6,Six people were wounded in Boston's Roxbury neighborhood.[58],2019-07-05,0,0,2019,7,5,"Boston, Suffolk County, Massachusetts, USA","Boston, Suffolk County, Massachusetts, USA","(42.3602534, -71.0582912)",42.3602534,-71.0582912,"Six people were
wounded in Boston's
Roxbury
neighborhood.[58]",Boston, Massachusetts
48,"July 4, 2019","Chicago, Illinois",1,3,4,"One man was killed and three were wounded, after a suspect opened fire from a vehicle.[59]",2019-07-04,0,0,2019,7,4,"Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,"One man was killed
and three were
wounded, after a
suspect opened fire
from a vehicle.[59]",Chicago, Illinois
49,"July 4, 2019","Los Angeles, California",0,4,4,"Four people, including a 15-year-old girl were wounded, after two perpetrators opened fire in the Historic South-Central neighborhood.[60][61]",2019-07-04,0,0,2019,7,4,"LA, Los Angeles County, California, United States of America","LA, Los Angeles County, California, United States of America","(34.0536909, -118.2427666)",34.0536909,-118.2427666,"Four people,
including a 15-year-
old girl were
wounded, after two
perpetrators opened
fire in the Historic
South-Central neighb
orhood.[60][61]",Los Angeles, California
50,"July 4, 2019","Rockford, Illinois",0,4,4,Four people were wounded after an argument escalated.[62],2019-07-04,0,0,2019,7,4,"Rockford, Winnebago County, Illinois, USA","Rockford, Winnebago County, Illinois, USA","(42.2713945, -89.093966)",42.2713945,-89.093966,"Four people were
wounded after an
argument
escalated.[62]",Rockford, Illinois
51,"July 4, 2019","Fresno, California",1,3,4,One person was killed and three were injured after gunfire erupted at an Independence Day celebration.[63],2019-07-04,0,0,2019,7,4,"Fresno, Fresno County, California, USA","Fresno, Fresno County, California, USA","(36.7295295, -119.708861260756)",36.7295295,-119.708861260756,"One person was
killed and three
were injured after
gunfire erupted at
an Independence Day
celebration.[63]",Fresno, California
52,"July 3, 2019","Katy, Texas",2,3,5,The perpetrator shot and killed his sister and three others at a housewarming party. He later died at a hospital.[64],2019-07-03,1,0,2019,7,3,"Katy, Fort Bend County, Texas, USA","Katy, Fort Bend County, Texas, USA","(29.7857853, -95.8243956)",29.7857853,-95.8243956,"The perpetrator shot
and killed his
sister and three
others at a
housewarming party.
He later died at a
hospital.[64]",Katy, Texas
53,"July 2, 2019","Washington Park, Illinois",0,4,4,"A 16-year-old, 12-year-old and an adult were injured when an argument over fireworks escalated. The perpetrator was shot by a by-stander.[65]",2019-07-02,0,1,2019,7,2,"Washington Park, Saint Clair County, Illinois, USA","Washington Park, Saint Clair County, Illinois, USA","(38.6350501, -90.0928852)",38.6350501,-90.0928852,"A 16-year-old,
12-year-old and an
adult were injured
when an argument
over fireworks
escalated. The
perpetrator was shot
by a by-stander.[65]",Washington Park, Illinois
54,"July 2, 2019","Wellston, Missouri",0,4,4,Four people were injured in a drive-by shooting just before midnight near a local food store.[66],2019-07-02,0,0,2019,7,2,"Wellston, Saint Louis County, Missouri, 63313, USA","Wellston, Saint Louis County, Missouri, 63313, USA","(38.6728292, -90.2992808)",38.6728292,-90.2992808,"Four people were
injured in a drive-
by shooting just
before midnight near
a local food
store.[66]",Wellston, Missouri
55,"July 1, 2019","Baltimore, Maryland",0,4,4,"Four women were injured after a suspect opened fire on them, two were discovered by police, the others privately entered the hospital.[67]",2019-07-01,0,0,2019,7,1,"Baltimore, Maryland, 21203, USA","Baltimore, Maryland, 21203, USA","(39.2908816, -76.610759)",39.2908816,-76.610759,"Four women were
injured after a
suspect opened fire
on them, two were
discovered by
police, the others
privately entered
the hospital.[67]",Baltimore, Maryland
